id,Keyword,Country,Location,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date,Branded,Local,Navigational,Informational,Commercial,Transactional
11,畫眼線,HK,Hong Kong,"Thumbnail, Sitelinks",250,0,0.27,0,1,1,0,53,22,31.0,,https://pretty.presslogic.com/article/733358/%E7%9C%BC%E7%B7%9A%E6%95%99%E5%AD%B8,,https://pretty.presslogic.com/article/733358/%E7%9C%BC%E7%B7%9A%E6%95%99%E5%AD%B8,2025-02-03 16:59:09,2025-04-14 06:45:11,False,False,False,True,False,False
12,眼線畫法,HK,Hong Kong,Thumbnail,200,0,0.11,0,0,0,0,28,21,7.0,,https://pretty.presslogic.com/article/733358/%E7%9C%BC%E7%B7%9A%E6%95%99%E5%AD%B8,,https://pretty.presslogic.com/article/733358/%E7%9C%BC%E7%B7%9A%E6%95%99%E5%AD%B8,2025-02-05 03:31:59,2025-04-16 03:56:04,False,False,False,True,False,False
13,bruh潮語,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks",350,0,,1,0,-1,0,18,24,-6.0,,https://pretty.presslogic.com/article/520248/80%E5%BE%8C-90%E5%BE%8C-%E9%A6%99%E6%B8%AF%E6%BD%AE%E8%AA%9E%E4%BE%86%E6%BA%90-%E6%84%8F%E6%80%9D-%E9%81%8E%E6%B0%A3-00%E5%BE%8C-kai%E5%AD%90-%E6%B7%86%E5%BA%95-%E5%B1%88%E6%A9%9F-%E5%9B%A7%E6%A8%A3,,https://pretty.presslogic.com/article/721800/2024-%E9%A6%99%E6%B8%AF-00%E5%BE%8C-%E7%B6%B2%E7%B5%A1%E6%BD%AE%E8%AA%9E-foodboi-%E8%80%81bes-%E6%B2%89,2025-02-08 01:43:02,2025-04-20 15:08:46,False,False,False,True,False,False
14,muji 水樽,HK,Hong Kong,,350,0,0.23,0,0,0,0,23,24,-1.0,,https://pretty.presslogic.com/article/419408/muji%E7%84%A1%E5%8D%B0%E8%89%AF%E5%93%81%E6%A5%B5%E7%B0%A1%E7%B4%84%E6%B0%B4%E6%A8%BD-%E5%8D%B0%E8%91%97-%E6%B0%B4-%E5%AD%97%E7%9B%A1%E9%A1%AF%E6%97%A5%E7%B3%BB%E7%BE%8E%E5%AD%B8-%E4%BB%A5%E5%BE%8C%E6%AF%8F%E6%97%A5%E8%A6%8B%E5%AD%97%E9%A3%B2%E6%B0%B4,,https://pretty.presslogic.com/article/419408/muji%E7%84%A1%E5%8D%B0%E8%89%AF%E5%93%81%E6%A5%B5%E7%B0%A1%E7%B4%84%E6%B0%B4%E6%A8%BD-%E5%8D%B0%E8%91%97-%E6%B0%B4-%E5%AD%97%E7%9B%A1%E9%A1%AF%E6%97%A5%E7%B3%BB%E7%BE%8E%E5%AD%B8-%E4%BB%A5%E5%BE%8C%E6%AF%8F%E6%97%A5%E8%A6%8B%E5%AD%97%E9%A3%B2%E6%B0%B4,2025-02-05 18:40:45,2025-04-17 02:26:54,True,False,False,False,True,True
15,幸運曲奇,HK,Hong Kong,"Thumbnail, Knowledge panel",150,0,0.03,0,0,0,0,30,20,10.0,,https://pretty.presslogic.com/article/702446/%E6%97%A5%E6%9C%AC-%E5%B9%B8%E9%81%8B%E6%9B%B2%E5%A5%87-%E5%82%B3%E7%B5%B1-%E7%8E%A9%E5%85%B7,,https://pretty.presslogic.com/article/702446/%E6%97%A5%E6%9C%AC-%E5%B9%B8%E9%81%8B%E6%9B%B2%E5%A5%87-%E5%82%B3%E7%B5%B1-%E7%8E%A9%E5%85%B7,2025-01-30 07:20:30,2025-04-10 12:51:19,False,False,False,True,False,False
16,鄭中基女兒,HK,Hong Kong,,100,0,,0,0,0,0,43,20,23.0,,https://pretty.presslogic.com/article/681627/%E9%84%AD%E4%B8%AD%E5%9F%BA12%E6%AD%B2%E5%A4%A7%E5%A5%B3emma%E8%A2%AB%E8%AE%9A%E7%94%B1%E7%B4%B0%E9%9D%9A%E5%88%B0%E5%A4%A7%EF%BC%8C%E5%A4%96%E8%B2%8C%E6%BC%B8%E8%AE%8A%E6%88%90%E7%86%9F%E6%95%A3,,https://pretty.presslogic.com/article/681627/%E9%84%AD%E4%B8%AD%E5%9F%BA12%E6%AD%B2%E5%A4%A7%E5%A5%B3emma%E8%A2%AB%E8%AE%9A%E7%94%B1%E7%B4%B0%E9%9D%9A%E5%88%B0%E5%A4%A7%EF%BC%8C%E5%A4%96%E8%B2%8C%E6%BC%B8%E8%AE%8A%E6%88%90%E7%86%9F%E6%95%A3,2025-02-07 14:19:21,2025-04-13 01:17:45,False,False,False,True,False,False
17,韓國醫美,HK,Hong Kong,"Thumbnail, Sitelinks",250,0,0.28,4,0,-4,0,12,24,-12.0,,https://pretty.presslogic.com/article/722454/%E9%86%AB%E7%BE%8E%E8%A8%BA%E6%89%80-%E9%9F%93%E5%9C%8B%E9%A6%96%E7%88%BE-%E9%B3%B3%E5%87%B0%E9%9B%BB%E6%B3%A2-%E8%9C%82%E5%B7%A2%E7%9A%AE%E7%A7%92-%E6%B0%B4%E5%85%89%E9%87%9D,,https://pretty.presslogic.com/article/722454/%E9%86%AB%E7%BE%8E%E8%A8%BA%E6%89%80-%E9%9F%93%E5%9C%8B%E9%A6%96%E7%88%BE-%E9%B3%B3%E5%87%B0%E9%9B%BB%E6%B3%A2-%E8%9C%82%E5%B7%A2%E7%9A%AE%E7%A7%92-%E6%B0%B4%E5%85%89%E9%87%9D,2025-01-28 00:47:54,2025-05-07 11:57:33,False,False,False,True,True,False
18,獅子座性格女,HK,Hong Kong,"Featured snippet, Sitelinks, People also ask",150,0,,0,0,0,0,32,23,9.0,,https://pretty.presslogic.com/article/732139/%E7%8D%85%E5%AD%90%E5%BA%A7%E5%A5%B3%E8%88%87%E9%9B%99%E5%AD%90%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,,https://pretty.presslogic.com/article/732191/%E7%8D%85%E5%AD%90%E5%BA%A7%E5%A5%B3%E8%88%87%E7%8D%85%E5%AD%90%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,2025-02-04 22:43:53,2025-04-15 16:29:14,False,False,False,True,False,False
19,處女座男,HK,Hong Kong,,700,3,0.62,0,0,0,0,35,30,5.0,,https://pretty.presslogic.com/article/732360/%E6%B0%B4%E7%93%B6%E5%BA%A7%E5%A5%B3%E8%88%87%E8%99%95%E5%A5%B3%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,,https://pretty.presslogic.com/article/732360/%E6%B0%B4%E7%93%B6%E5%BA%A7%E5%A5%B3%E8%88%87%E8%99%95%E5%A5%B3%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,2025-02-03 21:04:34,2025-05-04 01:18:14,False,False,False,True,False,False
20,胭脂 推薦,HK,Hong Kong,"Thumbnail, Sitelinks",100,0,0.37,0,0,0,0,23,21,2.0,,https://pretty.presslogic.com/article/736940/%E8%83%AD%E8%84%82%E6%8E%A8%E8%96%A6,,https://pretty.presslogic.com/article/736940/%E8%83%AD%E8%84%82%E6%8E%A8%E8%96%A6,2025-01-31 07:04:48,2025-04-11 02:27:04,False,False,False,True,True,False
21,燉奶做法,HK,Hong Kong,Featured snippet,200,0,,0,0,0,0,41,23,18.0,,https://pretty.presslogic.com/article/405636/%E6%BB%8B%E8%A3%9C-%E9%A4%8A%E9%A1%8F-%E6%A1%82%E8%8A%B1%E8%9C%82%E8%9C%9C%E7%87%89%E5%A5%B6-%E9%A3%9F%E8%AD%9C-15%E5%88%86%E9%90%98,,https://pretty.presslogic.com/article/405636/%E6%BB%8B%E8%A3%9C-%E9%A4%8A%E9%A1%8F-%E6%A1%82%E8%8A%B1%E8%9C%82%E8%9C%9C%E7%87%89%E5%A5%B6-%E9%A3%9F%E8%AD%9C-15%E5%88%86%E9%90%98,2025-02-07 13:16:20,2025-04-20 12:22:48,False,False,False,True,False,False
22,戴戒指禁忌,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks",100,0,,0,0,0,0,21,21,,,https://pretty.presslogic.com/article/726120/%E6%88%92%E6%8C%87-%E6%88%92%E6%8C%87%E9%96%8B%E9%81%8B%E6%B3%95-%E6%A1%83%E8%8A%B1%E9%81%8B-%E6%8B%9B%E8%B2%A1%E9%81%8B-10%E9%9A%BB%E6%89%8B%E6%8C%87-%E6%88%B4%E6%88%92%E6%8C%87%E5%90%AB%E7%BE%A9,,https://pretty.presslogic.com/article/726120/%E6%88%92%E6%8C%87-%E6%88%92%E6%8C%87%E9%96%8B%E9%81%8B%E6%B3%95-%E6%A1%83%E8%8A%B1%E9%81%8B-%E6%8B%9B%E8%B2%A1%E9%81%8B-10%E9%9A%BB%E6%89%8B%E6%8C%87-%E6%88%B4%E6%88%92%E6%8C%87%E5%90%AB%E7%BE%A9,2025-01-20 06:06:04,2025-04-16 07:04:55,False,False,False,True,False,False
23,眼 油脂粒,HK,Hong Kong,"Thumbnail, People also ask",100,0,0.03,0,0,0,0,39,22,17.0,,https://pretty.presslogic.com/article/675148/%E6%B2%B9%E8%84%82%E7%B2%92-%E9%A0%90%E9%98%B2%E6%B2%B9%E8%84%82%E7%B2%92-%E7%9C%BC%E9%83%A8%E5%91%A8%E5%9C%8D-%E8%AD%B7%E8%86%9A%E6%96%B9%E6%B3%95-%E9%85%B8%E9%A1%9E%E7%94%A2%E5%93%81,,https://pretty.presslogic.com/article/675148/%E6%B2%B9%E8%84%82%E7%B2%92-%E9%A0%90%E9%98%B2%E6%B2%B9%E8%84%82%E7%B2%92-%E7%9C%BC%E9%83%A8%E5%91%A8%E5%9C%8D-%E8%AD%B7%E8%86%9A%E6%96%B9%E6%B3%95-%E9%85%B8%E9%A1%9E%E7%94%A2%E5%93%81,2025-01-31 01:50:21,2025-04-11 05:18:13,False,False,False,True,False,False
24,瘦臉運動,HK,Hong Kong,"Featured snippet, People also ask",100,0,,0,0,0,0,37,21,16.0,,https://pretty.presslogic.com/article/723142/%E6%97%A5%E6%9C%AC-youtuber-%E7%98%A6%E8%87%89%E9%81%8B%E5%8B%95-2%E6%98%9F%E6%9C%9F-%E6%B8%9B%E9%9B%99%E4%B8%8B%E5%9B%9E%E5%BE%A9v%E9%9D%A2-%E4%B8%8B%E9%A1%8E,,https://pretty.presslogic.com/article/723142/%E6%97%A5%E6%9C%AC-youtuber-%E7%98%A6%E8%87%89%E9%81%8B%E5%8B%95-2%E6%98%9F%E6%9C%9F-%E6%B8%9B%E9%9B%99%E4%B8%8B%E5%9B%9E%E5%BE%A9v%E9%9D%A2-%E4%B8%8B%E9%A1%8E,2025-01-18 19:12:53,2025-04-22 09:36:56,False,False,False,True,False,False
25,工人褲穿搭,HK,Hong Kong,"Thumbnail, Sitelinks",150,0,,0,0,0,0,20,22,-2.0,,https://pretty.presslogic.com/article/574370/%E5%90%8A%E5%B8%B6%E8%A4%B2-%E5%B7%A5%E4%BA%BA%E8%A4%B2-%E7%A7%8B%E5%86%AC%E7%A9%BF%E6%90%AD2021,,https://pretty.presslogic.com/article/574370/%E5%90%8A%E5%B8%B6%E8%A4%B2-%E5%B7%A5%E4%BA%BA%E8%A4%B2-%E7%A7%8B%E5%86%AC%E7%A9%BF%E6%90%AD2021,2025-01-25 06:22:39,2025-05-04 20:06:47,False,False,False,True,False,False
26,1111 天使數字,HK,Hong Kong,Thumbnail,400,0,,0,0,0,0,29,27,2.0,,https://pretty.presslogic.com/article/671959/%E6%89%8B%E6%A9%9F%E5%B1%8F%E5%B9%95-%E5%A4%A9%E4%BD%BF%E6%95%B8%E5%AD%97-1212-%E9%A1%98%E6%9C%9B%E6%88%90%E7%9C%9F-1111-%E6%A1%83%E8%8A%B1,,https://pretty.presslogic.com/article/671959/%E6%89%8B%E6%A9%9F%E5%B1%8F%E5%B9%95-%E5%A4%A9%E4%BD%BF%E6%95%B8%E5%AD%97-1212-%E9%A1%98%E6%9C%9B%E6%88%90%E7%9C%9F-1111-%E6%A1%83%E8%8A%B1,2025-01-21 05:16:29,2025-04-25 02:20:06,False,False,False,True,False,False
27,眼部油脂粒,HK,Hong Kong,"Thumbnail, People also ask",100,0,0.04,0,0,0,0,42,22,20.0,,https://pretty.presslogic.com/article/675148/%E6%B2%B9%E8%84%82%E7%B2%92-%E9%A0%90%E9%98%B2%E6%B2%B9%E8%84%82%E7%B2%92-%E7%9C%BC%E9%83%A8%E5%91%A8%E5%9C%8D-%E8%AD%B7%E8%86%9A%E6%96%B9%E6%B3%95-%E9%85%B8%E9%A1%9E%E7%94%A2%E5%93%81,,https://pretty.presslogic.com/article/675148/%E6%B2%B9%E8%84%82%E7%B2%92-%E9%A0%90%E9%98%B2%E6%B2%B9%E8%84%82%E7%B2%92-%E7%9C%BC%E9%83%A8%E5%91%A8%E5%9C%8D-%E8%AD%B7%E8%86%9A%E6%96%B9%E6%B3%95-%E9%85%B8%E9%A1%9E%E7%94%A2%E5%93%81,2025-02-04 04:39:54,2025-04-15 03:59:58,False,False,False,True,False,False
28,韓國小眾品牌衣服,HK,Hong Kong,,100,0,0.13,0,0,0,0,46,21,25.0,,https://pretty.presslogic.com/article/718738/%E9%9F%93%E5%9C%8B-%E5%B0%8F%E7%9C%BE%E5%93%81%E7%89%8C-%E7%94%9C%E7%BE%8E%E5%85%AC%E4%B8%BB-%E5%9E%8B%E6%A0%BC%E8%BE%A3%E5%A6%B9%E9%A2%A8-ive-%E5%BC%B5%E5%93%A1%E7%91%9B-gi-dle-minnie,,https://pretty.presslogic.com/article/718738/%E9%9F%93%E5%9C%8B-%E5%B0%8F%E7%9C%BE%E5%93%81%E7%89%8C-%E7%94%9C%E7%BE%8E%E5%85%AC%E4%B8%BB-%E5%9E%8B%E6%A0%BC%E8%BE%A3%E5%A6%B9%E9%A2%A8-ive-%E5%BC%B5%E5%93%A1%E7%91%9B-gi-dle-minnie,2025-01-22 12:04:08,2025-05-01 01:37:06,False,False,False,True,True,False
29,jeh廣東話,HK,Hong Kong,"People also ask, Sitelinks",100,0,,0,0,0,0,23,22,1.0,,https://pretty.presslogic.com/article/559264/%E5%BC%B5%E6%95%AC%E8%BB%92-%E6%97%A9%E9%A4%90%E7%95%8Ckol-%E9%81%AE%E9%81%AE-%E6%97%A9%E9%A4%90-%E7%B6%B2%E6%B0%91-%E8%B6%A3%E4%BA%8B,,https://pretty.presslogic.com/article/559264/%E5%BC%B5%E6%95%AC%E8%BB%92-%E6%97%A9%E9%A4%90%E7%95%8Ckol-%E9%81%AE%E9%81%AE-%E6%97%A9%E9%A4%90-%E7%B6%B2%E6%B0%91-%E8%B6%A3%E4%BA%8B,2025-02-05 20:56:31,2025-04-16 09:53:55,False,False,False,True,False,False
30,梳乎厘食譜,HK,Hong Kong,Featured snippet,350,0,,0,0,0,0,52,27,25.0,,https://pretty.presslogic.com/article/375390/%E9%9B%B6%E5%A4%B1%E6%95%97-1000%E6%AC%A1%E7%A9%BA%E6%B0%A3%E6%A2%B3%E4%B9%8E%E5%8E%98%E7%8F%AD%E6%88%9F-%E6%89%8B%E6%AE%98%E5%A5%B3%E5%BF%85%E5%AD%B8-%E7%84%A1%E9%9C%80%E5%B7%A5%E5%85%B7%E5%8A%A0%E7%89%9B%E6%B2%B9-%E6%A5%93%E7%B3%96%E6%BC%BF%E8%B6%85%E5%AE%8C%E7%BE%8E,,https://pretty.presslogic.com/article/375390/%E9%9B%B6%E5%A4%B1%E6%95%97-1000%E6%AC%A1%E7%A9%BA%E6%B0%A3%E6%A2%B3%E4%B9%8E%E5%8E%98%E7%8F%AD%E6%88%9F-%E6%89%8B%E6%AE%98%E5%A5%B3%E5%BF%85%E5%AD%B8-%E7%84%A1%E9%9C%80%E5%B7%A5%E5%85%B7%E5%8A%A0%E7%89%9B%E6%B2%B9-%E6%A5%93%E7%B3%96%E6%BC%BF%E8%B6%85%E5%AE%8C%E7%BE%8E,2025-02-01 18:41:32,2025-04-12 03:05:53,False,False,False,True,False,False
31,天蠍座男特質,HK,Hong Kong,"Featured snippet, People also ask, Sitelinks",150,7,,0,0,0,0,31,25,6.0,,https://pretty.presslogic.com/article/732358/%E5%A4%A9%E8%A0%8D%E5%BA%A7%E5%A5%B3%E8%88%87%E5%A4%A9%E8%A0%8D%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,,https://pretty.presslogic.com/article/732328/%E6%B0%B4%E7%93%B6%E5%BA%A7%E5%A5%B3%E8%88%87%E5%A4%A9%E8%A0%8D%E5%BA%A7%E7%94%B7%E9%85%8D%E5%B0%8D,2025-02-05 09:21:20,2025-04-15 17:47:39,False,False,False,True,False,False
32,巴斯克芝士蛋糕食譜,HK,Hong Kong,,500,0,,0,0,0,0,40,29,11.0,,https://pretty.presslogic.com/article/446996/%E5%B7%B4%E6%96%AF%E5%85%8B%E8%9B%8B%E7%B3%95-basque-burnt-cheesecake-tiramisu-%E7%84%A6%E9%A6%99%E8%8A%9D%E5%A3%AB%E9%85%8D%E6%BF%83%E9%83%81%E5%92%96%E5%95%A1%E5%A5%B6%E9%85%AA%E8%B6%85%E5%90%B8%E5%BC%95,,https://pretty.presslogic.com/article/417100/%E5%B7%B4%E6%96%AF%E5%85%8B%E8%8A%9D%E5%A3%AB%E8%9B%8B%E7%B3%95%E9%A3%9F%E8%AD%9C-%E9%9B%B6%E5%A4%B1%E6%95%9710%E5%88%86%E9%90%98%E5%AE%8C%E6%88%90-%E8%B6%85%E6%BF%83%E9%83%81%E8%8A%9D%E5%A3%AB%E5%91%B3-%E7%B6%BF%E5%AF%86%E5%8F%A3%E6%84%9F%E9%85%8D%E7%84%A6%E7%B3%96%E7%83%98%E7%87%B6%E9%9D%A2,2025-02-06 01:22:24,2025-05-07 17:19:38,False,False,False,True,False,False
33,card holder推介女,HK,Hong Kong,"Thumbnail, Sitelinks",100,0,,1,0,-1,0,15,22,-7.0,,https://pretty.presslogic.com/article/432631/%E7%B2%BE%E9%81%B810%E6%AC%BEol%E5%BF%85%E8%B2%B7%E5%90%8D%E7%89%8Ccard-holder-%E6%9C%80%E5%B9%B3-800%E5%8F%AF%E5%85%A5%E6%89%8B-fendi%E7%B4%AB%E4%B8%81%E9%A6%99%E8%89%B2-chanel%E6%B7%BA%E8%97%8D%E7%B5%95%E7%BE%8E,,https://pretty.presslogic.com/article/432631/%E7%B2%BE%E9%81%B810%E6%AC%BEol%E5%BF%85%E8%B2%B7%E5%90%8D%E7%89%8Ccard-holder-%E6%9C%80%E5%B9%B3-800%E5%8F%AF%E5%85%A5%E6%89%8B-fendi%E7%B4%AB%E4%B8%81%E9%A6%99%E8%89%B2-chanel%E6%B7%BA%E8%97%8D%E7%B5%95%E7%BE%8E,2025-01-25 17:32:44,2025-05-01 07:47:06,False,False,False,True,True,False
34,日本名牌,HK,Hong Kong,"Thumbnail, Sitelinks",200,0,,0,0,0,0,34,25,9.0,,https://pretty.presslogic.com/article/727474/%E5%90%8D%E7%89%8C%E6%94%BB%E7%95%A5-%E6%97%A5%E6%9C%AC-chanel-lv-dior-%E9%80%80%E7%A8%85,,https://pretty.presslogic.com/article/727474/%E5%90%8D%E7%89%8C%E6%94%BB%E7%95%A5-%E6%97%A5%E6%9C%AC-chanel-lv-dior-%E9%80%80%E7%A8%85,2025-02-01 01:23:34,2025-04-12 02:05:20,False,False,False,True,True,False
35,patreon 賣相,HK,Hong Kong,Sitelinks,100,0,,0,0,0,0,30,22,8.0,,https://pretty.presslogic.com/article/626876/%E7%B6%B2%E7%B4%85-%E5%BC%B5%E5%98%89%E6%AC%A3-patreon-kol-%E7%A7%81%E7%9B%B8,,https://pretty.presslogic.com/article/626876/%E7%B6%B2%E7%B4%85-%E5%BC%B5%E5%98%89%E6%AC%A3-patreon-kol-%E7%A7%81%E7%9B%B8,2025-02-03 02:37:58,2025-04-14 20:04:29,True,False,False,True,True,False
36,bring green評價,HK,Hong Kong,Sitelinks,150,0,0.06,0,0,0,0,25,24,1.0,,https://pretty.presslogic.com/article/615636/bring-green-%E6%B7%A8%E5%8C%96%E6%AF%9B%E5%AD%94%E7%A5%9E%E5%99%A8-%E7%AB%B9%E7%82%AD%E6%BD%94%E6%B7%A8-%E5%90%B8%E6%B1%A1%E9%9D%A2%E8%86%9C-%E8%A3%9C%E6%B0%B4%E9%9D%A2%E8%86%9C,,https://pretty.presslogic.com/article/615636/bring-green-%E6%B7%A8%E5%8C%96%E6%AF%9B%E5%AD%94%E7%A5%9E%E5%99%A8-%E7%AB%B9%E7%82%AD%E6%BD%94%E6%B7%A8-%E5%90%B8%E6%B1%A1%E9%9D%A2%E8%86%9C-%E8%A3%9C%E6%B0%B4%E9%9D%A2%E8%86%9C,2025-02-08 13:53:23,2025-04-20 17:45:48,True,False,False,True,True,False
37,rap意思,HK,Hong Kong,"Knowledge card, People also ask",150,0,,14,0,-13,0,4,24,-20.0,,https://pretty.presslogic.com/article/523451/2021-%E6%BD%AE%E8%AA%9E-%E4%B8%96%E4%B8%80-r-a-p-siu4,,https://pretty.presslogic.com/article/523451/2021-%E6%BD%AE%E8%AA%9E-%E4%B8%96%E4%B8%80-r-a-p-siu4,2025-02-02 23:30:56,2025-04-14 06:37:13,False,False,False,True,False,False
